TITLE                                             ACCESSION#  MEDIA  ADDITIONAL INFORMATION
.....................................................................
ABBA The Definitive Collection                    B00005QJFL   C     number of tracks: 17 || year of release: 2001
ABBA The Definitive Collection                    B00005QJFL   C     number of tracks: 17 || year of release: 2001
All I Ask of You                                  PHANTOM      C     number of tracks: 19 || year of release: 2000
All I Ask of You                                  PHANTOM      C     number of tracks: 19 || year of release: 2000
All I Ask of You                                  PHANTOM      C     number of tracks: 19 || year of release: 2000
Andrea Bocelli, Celine Dion: The Prayer           APPV98168    P     number of pages: 10
Andrea Bocelli, Celine Dion: The Prayer           APPV98168    P     number of pages: 10
Beethoven and the Tempest                         B19939871    P     number of pages: 12
Beethoven and the Tempest                         B19939871    P     number of pages: 12
Beethoven and the Tempest                         B19939871    P     number of pages: 12
Beethoven and the Tempest                         B19939871    P     number of pages: 12
Brown Sugar                                       B19843213    C     number of tracks: 10 || year of release: 1995
Brown Sugar                                       B19843213    C     number of tracks: 10 || year of release: 1995
Brown Sugar                                       B19843213    C     number of tracks: 10 || year of release: 1995
Brown Sugar                                       B19843213    C     number of tracks: 10 || year of release: 1995
Brown Sugar                                       B19843213    C     number of tracks: 10 || year of release: 1995
Butterflies & Hurricanes                          Muse         C     number of tracks: 16 || year of release: 2006
Con Te Partiro                                    BOCELLI      C     number of tracks: 3 || year of release: 1995
Con Te Partiro                                    BOCELLI      C     number of tracks: 3 || year of release: 1995
Con Te Partiro                                    BOCELLI      C     number of tracks: 3 || year of release: 1995
Con Te Partiro                                    BOCELLI      C     number of tracks: 3 || year of release: 1995
Con Te Partiro                                    BOCELLI      C     number of tracks: 3 || year of release: 1995
Con Te Partiro                                    BOCELLI      C     number of tracks: 3 || year of release: 1995
Congress Reel                                     TradIrish2   V     record label's imprint: Green Linnet | speed of play: 33
Crescent Trio Whispering                          C7514        W     maker: Edison Record
Cuatro Caminos                                    B00009VTYR   C     number of tracks: 14 || year of release: 2003
Dan Dickey Music Collection                       D1984-79     V     record label's imprint: 23866727 | speed of play: 78
Daniel Powter: Bad Day                            HL353192     P     number of pages: 8
Dark Side of the Moon                             B000002U82   C     number of tracks: 7 || year of release: 1990
Edith Piaf: Master Series                         A7           C     number of tracks: 4 || year of release: 1989
Elvis:The Top Ten Hits                            E000738325   C     number of tracks: 38 || year of release: 1987
Elvis:The Top Ten Hits                            E000738325   C     number of tracks: 38 || year of release: 1987
Elvis:The Top Ten Hits                            E000738325   C     number of tracks: 38 || year of release: 1987
Essence of Rhythmn                                B000009HRR   C     number of tracks: 3 || year of release: 1998
Essence of Rhythmn                                B000009HRR   C     number of tracks: 3 || year of release: 1998
Fanny Powers                                      OCarloan2    V     record label's imprint: Green Linnet | speed of play: 45
Fast Fingering Tips for Banjo                     F006093845   P     number of pages: 40
Florence Hinkle - I love you so                   F9748        W     maker: Edison Gold Moulded
Four songs                                        F186246jb    P     number of pages: 22
Four songs                                        F186246jb    P     number of pages: 22
God's Project                                     B0007X9UXS   C     number of tracks: 15 || year of release: 2005
Guido Gialdini - Parla                            G2742        W     maker: Edison Blue Amberol
Hugs & Kisses                                     A3           C     number of tracks: 14 || year of release: 1998
It's a Raggy Waltz                                I31698342    W     maker: NBC
It's a Raggy Waltz                                I31698342    W     maker: NBC
It's a Raggy Waltz                                I31698342    W     maker: NBC
Jeff Buckley - Grace                              B0000029DD   C     number of tracks: 32 || year of release: 1994
Josh Groban: You Raise Me Up                      HL352697     P     number of pages: 7
Josh Groban: You Raise Me Up                      HL352697     P     number of pages: 7
Les Miserables                                    B000000OQI   C     number of tracks: 20 || year of release: 1990
Metamorphosis                                     M915393444   V     record label's imprint: Abkco | speed of play: 45
Metamorphosis                                     M915393444   V     record label's imprint: Abkco | speed of play: 45
Metamorphosis                                     M915393444   V     record label's imprint: Abkco | speed of play: 45
Metamorphosis                                     M915393444   V     record label's imprint: Abkco | speed of play: 45
Metamorphosis                                     M915393444   V     record label's imprint: Abkco | speed of play: 45
Miss Saigon                                       B000000ORS   C     number of tracks: 20 || year of release: 1990
Modest Mouse - Dramamine                          ModestMouse1  C     number of tracks: 15 || year of release: 1994
Modest Mouse - Here it Comes                      ModestMouse2  C     number of tracks: 23 || year of release: 1996
No. 174                                           OCarolan4    P     number of pages: 3
Nocturne in C# Minor                              SC0013226    P     number of pages: 4
Original Sound Track from the Film Black Orpheus  A5           C     number of tracks: 14 || year of release: 1989
Original Sound Track from the Film Black Orpheus  A5           C     number of tracks: 14 || year of release: 1989
Original Sound Track from the Film Black Orpheus  A5           C     number of tracks: 14 || year of release: 1989
Original Sound Track from the Film Black Orpheus  A5           C     number of tracks: 14 || year of release: 1989
Original Sound Track from the Film Black Orpheus  A5           C     number of tracks: 14 || year of release: 1989
Piano concerto no 21 in C                         66399        C     number of tracks: 2 || year of release: 2004
Piano concerto no 21 in C                         66399        C     number of tracks: 2 || year of release: 2004
Piano concerto no 21 in C                         66399        C     number of tracks: 2 || year of release: 2004
Planxty Sir Colonel John Irwin                    OCarolan6    V     record label's imprint: Shaunacy Records | speed of play: 33
Planxty Sir Colonel John Irwin                    OCarolan6    V     record label's imprint: Shaunacy Records | speed of play: 33
Prelude in E Minor Op 28 No 4                     SC0023354    P     number of pages: 2
